COUNTIES,Closed sales,1-Year change,Days on Market,1-Year change,Median Sales Price,1-Year change,Inventory,1-Year change,,
Ringgold County,6,0.00%,28,-79.30%,"$143,500 ",-28.60%,28,40.00%,,
Clayton County,18,63.60%,26,-66.70%,"$158,950 ",14.40%,28,0.00%,,
Fayette County,26,13.00%,34,-77.90%,"$97,900 ",22.40%,27,-43.80%,,
Hamilton County,13,-13.30%,85,-6.60%,"$133,850 ",45.50%,26,-36.60%,,
Plymouth County,16,-30.40%,19,-47.20%,"$275,000 ",59.90%,26,44.40%,,
Bremer County,21,-19.20%,15,-55.90%,"$200,000 ",44.50%,24,0.00%,,
Iowa County,26,116.70%,28,27.30%,"$198,500 ",29.10%,24,26.30%,,
Crawford County,8,33.30%,57,-51.30%,"$96,000 ",-68.50%,24,-25.00%,,
Harrison County,13,-23.50%,34,17.20%,"$142,000 ",57.80%,24,4.30%,,
Osceola County,6,0.00%,55,-53.40%,"$226,000 ",72.50%,23,187.50%,,
Wright County,16,6.70%,75,27.10%,"$124,000 ",30.50%,21,-36.40%,,
Calhoun County,9,-10.00%,50,-55.00%,"$98,000 ",14.00%,21,31.30%,,
Tama County,12,-33.30%,48,152.60%,"$93,950 ",-20.00%,21,-19.20%,,
Delaware County,10,-23.10%,36,0.00%,"$357,000 ",157.80%,21,90.90%,,
Carroll County,18,-14.30%,22,-53.20%,"$138,450 ",20.50%,20,-60.00%,,
Sioux County,17,-22.70%,22,-51.10%,"$247,500 ",30.60%,20,-28.60%,,
Mills County,6,-62.50%,23,-58.20%,"$169,000 ",18.60%,20,233.30%,,
Buchanan County,16,-23.80%,36,-45.50%,"$192,000 ",34.70%,20,-33.30%,,
Shelby County,12,33.30%,25,-78.80%,"$72,500 ",-31.00%,18,-37.90%,,
Clarke County,9,125.00%,106,140.90%,"$136,500 ",-7.60%,18,-41.90%,,
Worth County,7,40.00%,58,-61.80%,"$115,000 ",16.30%,18,38.50%,,
Lucas County,1,-90.00%,39,-4.90%,"$70,000 ",-44.00%,18,-5.30%,,
Allamakee County,7,-22.20%,34,-66.70%,"$157,500 ",43.20%,18,-21.70%,,
Emmet County,9,28.60%,85,-24.80%,"$116,500 ",33.10%,18,50.00%,,
Butler County,16,23.10%,44,100.00%,"$137,750 ",-1.60%,17,-32.00%,,
Cass County,11,-26.70%,40,-18.40%,"$85,000 ",-2.90%,17,-41.40%,,
Jones County,18,12.50%,16,-42.90%,"$158,400 ",17.30%,17,30.80%,,
Page County,8,33.30%,40,53.80%,"$100,000 ",42.30%,17,-19.00%,,
Winneshiek County,16,-30.40%,10,-76.70%,"$250,200 ",31.70%,15,-25.00%,,
Chickasaw County,8,-27.30%,34,-46.00%,"$121,000 ",25.40%,14,27.30%,,
O'Brien County,9,50.00%,17,-88.70%,"$144,000 ",10.80%,14,-26.30%,,
Monroe County,2,0.00%,28,115.40%,"$102,500 ",-62.40%,14,27.30%,,
Decatur County,1,-83.30%,6,-68.40%,"$130,000 ",27.50%,13,-40.90%,,
Grundy County,14,55.60%,26,0.00%,"$156,200 ",75.50%,13,-13.30%,,
Floyd County,18,63.60%,38,-78.20%,"$142,450 ",54.00%,13,-27.80%,,
Louisa County,3,-25.00%,115,248.50%,"$132,900 ",-38.90%,13,-43.50%,,
Montgomery County,10,-23.10%,27,12.50%,"$100,000 ",5.30%,12,-29.40%,,
Mitchell County,10,150.00%,86,13.20%,"$137,000 ",9.90%,12,-25.00%,,
Palo Alto County,9,12.50%,76,-23.20%,"$155,500 ",34.30%,12,0.00%,,
Wayne County,13,333.30%,57,-72.20%,"$80,340 ",-49.50%,12,-40.00%,,
Keokuk County,7,-12.50%,27,42.10%,"$119,900 ",26.90%,12,-40.00%,,
Howard County,8,-20.00%,19,-89.30%,"$164,950 ",59.00%,12,0.00%,,
Van Buren County,4,0.00%,115,-8.00%,"$95,250 ",-37.90%,12,9.10%,,
Adair County,7,75.00%,73,14.10%,"$155,000 ",31.40%,11,-31.30%,,
Buena Vista County,13,30.00%,74,138.70%,"$255,000 ",32.80%,10,0.00%,,
Taylor County,4,-33.30%,80,-11.10%,"$87,500 ",16.50%,9,-25.00%,,
Cherokee County,12,9.10%,33,-63.70%,"$155,000 ",52.00%,9,-30.80%,,
Pocahontas County,3,0.00%,47,-28.80%,"$58,000 ",28.90%,9,50.00%,,
Greene County,7,133.30%,5,-87.80%,"$140,000 ",8.90%,9,0.00%,,
Humboldt County,8,33.30%,131,98.50%,"$111,950 ",-20.60%,8,-69.20%,,
Audubon County,5,-28.60%,41,28.10%,"$165,000 ",302.40%,8,-20.00%,,
Monona County,6,-14.30%,71,91.90%,"$185,750 ",45.70%,8,-42.90%,,
Ida County,4,-42.90%,41,115.80%,"$176,500 ",113.90%,7,-46.20%,,
Fremont County,1,-75.00%,74,208.30%,"$110,000 ",-42.90%,6,-33.30%,,
Davis County,4,-60.00%,48,20.00%,"$102,400 ",-27.40%,6,-40.00%,,
Lyon County,5,400.00%,32,-78.10%,"$128,000 ",-56.60%,4,-50.00%,,
Sac County,3,0.00%,35,34.60%,"$124,800 ",-13.90%,3,-80.00%,,
Adams County,0,-100.00%,--,--,--,--,2,100.00%,,
,,,,,,,,,,
