"","GEOID","CountyName","MedianValue","MedianValueMOE","MOEPct"
"53","19145","Page County, Iowa",96400,3884,4.02904564315353
"54","19149","Plymouth County, Iowa",172600,5859,3.39455388180765
"55","19151","Pocahontas County, Iowa",81900,5745,7.01465201465201
"56","19155","Pottawattamie County, Iowa",141300,3393,2.40127388535032
"57","19159","Ringgold County, Iowa",113000,11985,10.6061946902655
"58","19161","Sac County, Iowa",101200,7326,7.23913043478261
"59","19165","Shelby County, Iowa",120700,6627,5.49047224523612
"60","19167","Sioux County, Iowa",182500,7387,4.04767123287671
"61","19171","Tama County, Iowa",114400,4592,4.01398601398601
"62","19175","Union County, Iowa",109600,7008,6.39416058394161
"63","19177","Van Buren County, Iowa",91200,12416,13.6140350877193
"64","19181","Warren County, Iowa",196100,6706,3.41968383477817
"65","19183","Washington County, Iowa",158600,8590,5.41614123581337
"66","19187","Webster County, Iowa",107900,6281,5.82113067655236
"67","19191","Winneshiek County, Iowa",183300,8486,4.62956901254774
"68","19193","Woodbury County, Iowa",131300,5142,3.91622239146992
"69","19197","Wright County, Iowa",86100,4091,4.75145180023229
"70","19001","Adair County, Iowa",111100,5490,4.94149414941494
"71","19007","Appanoose County, Iowa",85000,5907,6.94941176470588
"72","19011","Benton County, Iowa",158700,6751,4.25393824826717
"73","19017","Bremer County, Iowa",169000,6165,3.64792899408284
"74","19021","Buena Vista County, Iowa",120300,7363,6.12053200332502
"75","19027","Carroll County, Iowa",138700,7274,5.24441240086518
"76","19033","Cerro Gordo County, Iowa",130400,4832,3.70552147239264
"77","19039","Clarke County, Iowa",115400,14580,12.6343154246101
"78","19043","Clayton County, Iowa",131600,8443,6.41565349544073
"79","19049","Dallas County, Iowa",258300,8948,3.46418892760356
"80","19055","Delaware County, Iowa",141300,8829,6.2484076433121
"81","19099","Jasper County, Iowa",137200,4821,3.51384839650146
"82","19105","Jones County, Iowa",140000,8217,5.86928571428571
"83","19109","Kossuth County, Iowa",109400,8049,7.35740402193784
"84","19115","Louisa County, Iowa",107900,8654,8.02038924930491
"85","19121","Madison County, Iowa",186700,9969,5.33958221746117
"86","19125","Marion County, Iowa",160100,6752,4.21736414740787
"87","19131","Mitchell County, Iowa",120400,7948,6.60132890365449
"88","19137","Montgomery County, Iowa",85300,4932,5.78194607268464
"89","19141","O'Brien County, Iowa",116300,9889,8.50300945829751
"90","19147","Palo Alto County, Iowa",107300,8425,7.85181733457596
"91","19153","Polk County, Iowa",190400,2427,1.27468487394958
"92","19157","Poweshiek County, Iowa",148200,8234,5.55600539811066
"93","19163","Scott County, Iowa",167900,3230,1.9237641453246
"94","19169","Story County, Iowa",195200,5424,2.77868852459016
"95","19173","Taylor County, Iowa",84100,4656,5.53626634958383
"96","19179","Wapello County, Iowa",87400,5252,6.0091533180778
"97","19185","Wayne County, Iowa",79900,5573,6.97496871088861
"98","19189","Winnebago County, Iowa",96200,3795,3.94490644490645
"99","19195","Worth County, Iowa",107600,7641,7.10130111524164
