fips,PrcntChangeFMR2016_2020,PrcntChangeFMR2020_2022,PrcntChangeEmployTotal2016_2020,PrcntChangeEmployWage2016_2020
19155,13.15789474,2.959830867,-2.333079665,-1.802092112
19157,13.33333333,9.165526676,-7.708408517,-7.412128938
19159,10.98546042,7.569141194,-5.968028419,-6.062581486
19161,10.98546042,7.569141194,-4.847958297,-5.389221557
19163,9.269662921,3.470437018,-5.991801251,-6.592116121
19165,8.018867925,7.569141194,-7.709379745,-8.519598316
19167,10.98546042,8.442503639,1.19047619,2.474362593
19169,10.15424165,10.03500583,-3.317235373,-3.848696013
19171,8.607198748,10.66282421,-6.224256293,-4.873524452
19173,10.98546042,7.569141194,-6.373937677,-3.970107426
19175,10.98546042,7.569141194,-5.939511721,-6.871637202
19177,10.98546042,7.569141194,-7.990379476,-8.065246942
19179,6.395348837,12.43169399,-4.964679148,-4.893491124
19181,6.63507109,3.888888889,3.261679259,4.449844968
19183,15.32951289,5.217391304,-4.97471743,-3.852889667
19185,10.98546042,7.569141194,-2.258784161,-1.961745954
19187,10.98546042,7.569141194,-9.400700269,-10.81535721
19189,10.98546042,7.569141194,-6.141141141,-6.871988267
19191,10.80645161,7.569141194,-4.95407032,-4.598110854
19193,12.9395218,8.343711083,-6.95226104,-7.724093519
19195,10.98546042,7.569141194,-6.074411541,-6.383822363
19197,10.98546042,7.569141194,2.575321915,7.288428325
