StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q36,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_10_TEXT,Q33,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_6,Q18_5,Q18_5_TEXT,Q20,Q21,Q22,Q23,Q24,Q25,Q26
2021-08-30 13:38:30,2021-08-30 13:55:51,IP Address,67.55.190.37,100,1040,True,2021-08-30 13:55:51,R_2TRDsSSSzfba5as,,,,,41.311798095703125,-95.3834991455078125,anonymous,EN,Yes,More than 10 years,Carson,,,,Not interested in a different home,"Less than $100,000",Yes,Own,,Single family home,,"$1,200-$1,499",Poor,Yes,Yes,Not enough affordable housing,,Single family home,Extremely important,Extremely important,Slightly important,Extremely important,Not at all important,Extremely important,Extremely important,Not at all important,Extremely important,,,"Library
Parks
Restaurants
Gas Stations.",No,5,1,3,4,2,6,,"Get rid of the slum lord property owners.  Develop a city policy that homeowners must follow in order to rent out properties.  

The Middle class are struggling right now.  They make too much for help but not enough to improve their homes. Having an HVAC/Plumbing/Home Repair program with low rates or a program that helps assist the middle class with these items. 
",Female,41-55,2,2,White or Caucasian,"$60,000-$79,999"
2021-08-30 14:11:54,2021-08-30 14:15:11,IP Address,12.91.160.42,100,196,True,2021-08-30 14:15:11,R_2QMn2i9hKYb8mTp,,,,,41.212005615234375,-96.11009979248046875,anonymous,EN,Yes,6-10 years,Oakland,,,,Would be interested in up-sizing,"$250,000-$325,000",No,Own,,Single family home,,"$1,500-1,999",,Yes,Yes,Not enough quality housing,,Single family home,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly important,Extremely important,,,,Yes,5,2,3,4,1,6,,,Male,26 - 40,2,1,White or Caucasian,"$100,000-$149,999"
2021-08-30 14:10:26,2021-08-30 14:15:22,IP Address,174.198.78.184,100,296,True,2021-08-30 14:15:23,R_3J9kAYL1WOus9F2,,,,,41.21319580078125,-96.16680145263671875,anonymous,EN,Yes,More than 10 years,Oakland,,,,"Would be interested in a new construction single-family home,Would be interested in an existing single-family home","Less than $100,000",Yes,Rent,,Single family home,,"$900-$1,199",Fair,Yes,Yes,Not enough affordable housing,,Single family home,Extremely important,Extremely important,Important,Extremely important,Important,Extremely important,Extremely important,Slightly important,Extremely important,,,,Yes,2,3,5,1,4,6,,,Female,26 - 40,2,1,White or Caucasian,"$60,000-$79,999"
2021-08-30 14:20:04,2021-08-30 14:23:10,IP Address,107.77.210.93,100,185,True,2021-08-30 14:23:11,R_2ydb8jlEJlqe2kI,,,,,41.8040008544921875,-87.707000732421875,anonymous,EN,Yes,1-5 years,Oakland,,,,"Would be interested in renting,Would be interested in a new construction single-family home,Would be interested in an existing single-family home","Less than $100,000",No,Other,,Single family home,,$700-$899,Good,No,Yes,Not enough affordable housing,,"Townhome,Apartment,Single family home",Very important,Important,Important,Important,Important,Slightly important,Not at all important,Not at all important,Not at all important,Very important,Ability to own animals,,No,2,1,3,4,5,6,,,Female,18 - 25,1,1,White or Caucasian,"$19,999 or less"
2021-08-30 14:16:12,2021-08-30 14:23:42,IP Address,173.215.87.168,100,449,True,2021-08-30 14:23:42,R_3L7N98g1Nw9t1Ru,,,,,41.311798095703125,-95.3834991455078125,anonymous,EN,Yes,More than 10 years,Oakland,,,,Not interested in a different home,"$175,000-$250,000",Retired,Own,,Single family home,,"$900-$1,199",Excellent,No,No,Not enough quality housing,,"Independent Living Complex,Assisted Living Complex",Extremely important,Extremely important,Extremely important,Important,Extremely important,Very important,Extremely important,Not at all important,Extremely important,,,,No,2,4,3,1,5,6,,,Male,56-70,2,0,Don’t wish to answer,"$150,000-$199,999"
2021-08-30 14:15:51,2021-08-30 14:23:42,IP Address,174.255.5.208,100,470,True,2021-08-30 14:23:42,R_2wn4HyE2dHUt2Xq,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Yes,More than 10 years,Oakland,,,,"Would be interested in up-sizing,Would be interested in an existing single-family home","$175,000-$250,000",No,Own,,Single family home,,$700-$899,Excellent,No,Yes,Not enough affordable housing,,Single family home,Slightly important,Slightly important,Extremely important,Extremely important,Very important,Important,Very important,Not at all important,Important,,,,No,5,3,1,4,2,6,,,Male,41-55,2,2,White or Caucasian,"$60,000-$79,999"
2021-08-30 14:20:20,2021-08-30 14:33:39,IP Address,69.80.126.182,100,799,True,2021-08-30 14:33:39,R_1KpuXfBws7bLVmi,,,,,41.311798095703125,-95.3834991455078125,anonymous,EN,Yes,1-5 years,Oakland,,,,"Would be interested in up-sizing,Would be interested in a new construction single-family home,Would be interested in an existing single-family home","$175,000-$250,000",Yes,Own,,Single family home,,"$1,500-1,999",Excellent,Yes,Yes,Not enough quality housing,,Single family home,Important,Important,Very important,Extremely important,Very important,Extremely important,Extremely important,Slightly important,Very important,,,"Parks, restaurants... A nice walking trail would be amazing! ",No,4,5,2,1,3,6,,"We need more houses available. We've lived here for two years and have been waiting for something to come on the market with enough bedrooms for our larger family (we would really like a 5 bedroom house). We are willing to spend up to $250,000 or maybe a bit more, but there just haven't been many houses for sale. 

Street quality matters, too. So many streets are not in great condition in Oakland... We would have a hard time purchasing a home in some of the Oakland neighborhoods due to street quality alone. ",Female,26 - 40,2,4,White or Caucasian,"$150,000-$199,999"
2021-08-30 14:26:24,2021-08-30 14:34:57,IP Address,174.198.82.95,100,513,True,2021-08-30 14:34:57,R_3m4NUJqa9efcIJ5,,,,,41.285400390625,-96.1493988037109375,anonymous,EN,Yes,More than 10 years,Oakland,,,,Not interested in a different home,"$175,000-$250,000",Yes,Own,,Single family home,,"$900-$1,199",Fair,Yes,Yes,Do not qualify for a home mortgage,,Single family home,Extremely important,Extremely important,Extremely important,Very important,Slightly important,Slightly important,Extremely important,Not at all important,Extremely important,,,"Golf course.  Dining.  Neighborhood. ",No,5,1,3,4,2,6,,"Clean up the junk rental houses/neighborhoods. ",Male,41-55,2,0,White or Caucasian,"$100,000-$149,999"
2021-08-30 14:39:02,2021-08-30 14:46:01,IP Address,67.55.191.139,100,419,True,2021-08-30 14:46:02,R_3PuvgIoCmKuvfZp,,,,,41.02520751953125,-95.41159820556640625,anonymous,EN,Yes,More than 10 years,Oakland,,,,"Would be interested in up-sizing,Would be interested in a new construction single-family home,Would be interested in an existing single-family home","$100,000-$175,000",Yes,Own,,Single family home,,$500-$699,Good,No,Yes,Not enough quality housing,,"Townhome,Single family home",Extremely important,Extremely important,Important,Very important,Not at all important,Important,Important,Not at all important,Important,,,The variety of restaurants in the town. Attractiveness of the town in general. Pride in the community.,Yes,5,4,1,3,2,6,,Unknown,Male,18 - 25,4,0,White or Caucasian,"$150,000-$199,999"
2021-08-30 15:08:06,2021-08-30 15:14:58,IP Address,174.243.112.114,100,412,True,2021-08-30 15:14:58,R_2rj4qqJGB6af1N8,,,,,41.232696533203125,-96.113800048828125,anonymous,EN,Yes,More than 10 years,Oakland,,,,Not interested in a different home,"Less than $100,000",No,Own,,Single family home,,$700-$899,Good,No,No,Not enough affordable housing,,,Slightly important,Very important,Slightly important,Extremely important,Slightly important,Extremely important,Extremely important,Extremely important,Very important,Slightly important,,Parks restaurant school,No,5,3,1,4,2,6,,,Female,41-55,2,2,White or Caucasian,"$19,999 or less"
2021-08-30 15:19:17,2021-08-30 15:22:43,IP Address,174.255.0.11,100,205,True,2021-08-30 15:22:43,R_2c0cbPsjE5hC4nn,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Yes,1-5 years,Macedonia,,,,Would be interested in down-sizing,"Less than $100,000",No,Own,,Single family home,,$700-$899,Good,Yes,Yes,Not enough affordable housing,,Single family home,Very important,Very important,Slightly important,Important,Very important,Very important,Very important,Important,Very important,,,,No,4,5,3,2,1,6,,,Female,41-55,3,0,White or Caucasian,"$40,000-$59,999"
2021-08-30 15:17:03,2021-08-30 15:22:48,IP Address,38.121.112.24,100,344,True,2021-08-30 15:22:48,R_12QmOnzmrh4d2QU,,,,,41.237701416015625,-95.42569732666015625,anonymous,EN,Yes,More than 10 years,Carson,,,,Would be interested in down-sizing,"$100,000-$175,000",Retired,Own,,Single family home,,"$1,500-1,999",Good,Yes,Yes,Employment opportunities,,"Single family home,Independent Living Complex,Assisted Living Complex",Important,Important,Very important,Very important,Very important,Important,Extremely important,Important,Extremely important,,,,Yes,5,2,3,4,1,6,,,Female,56-70,2,0,White or Caucasian,"$80,000-$99,999"
2021-08-30 15:12:40,2021-08-30 15:23:16,IP Address,69.80.122.2,100,635,True,2021-08-30 15:23:17,R_2xW8dJEmGKnRP3F,,,,,41.2093048095703125,-96.61409759521484375,anonymous,EN,Yes,More than 10 years,Unincorporated East Pottawattamie County,,,,Not interested in a different home,"$175,000-$250,000",Yes,Own,,Single family home,,"$1,500-1,999",Excellent,Yes,Yes,Not enough affordable housing,,"Duplex,Townhome,Condo,Single family home,Independent Living Complex,Assisted Living Complex",Important,Important,Slightly important,Extremely important,Extremely important,Important,Extremely important,Very important,Very important,,,"Restaurants!!!
Childcare in Carson!
Recreation (Dreamland Theatre, parks, pickle ball, sports complex, swimming pool)
Walkability in town
Dog Park would be Great!-Carson!!!
School District
Visual Community (Beauty! Clean lots, mowed properties, etc)
Community-The people-Are they Welcoming/Friendly",Yes,2,5,6,3,1,4,"A Non Profit Investment Agency is Needed in Carson to provide housing incentive opportunities and partner with city and govt agency’s on projects ","Incentive Packages to build for Affordable Multi-bedroom (family) Rental Properties. 
Build more handicap accessible condos or townhomes for elderly residents to move into which will in turn open up housing market of older homes to new generations/first time home owners/young families to move into.  ",Female,41-55,2,2,White or Caucasian,"$100,000-$149,999"
2021-08-30 15:36:15,2021-08-30 15:40:45,IP Address,174.198.71.111,100,269,True,2021-08-30 15:40:45,R_xa3V156gXUu6cMN,,,,,41.232696533203125,-96.113800048828125,anonymous,EN,Yes,More than 10 years,Carson,,,,Not interested in a different home,,No,Own,,Single family home,,"$1,200-$1,499",Excellent,,,Other,Shortage of housing,,Slightly important,Slightly important,Important,Slightly important,Not at all important,Important,Important,Important,Important,,,,,,,,,,,,,,56-70,2,0,White or Caucasian,
2021-08-30 15:42:39,2021-08-30 15:50:33,IP Address,69.63.115.166,100,474,True,2021-08-30 15:50:33,R_3PnPUh3eZXkhJPl,,,,,41.232696533203125,-96.113800048828125,anonymous,EN,Yes,More than 10 years,Oakland,,,,Not interested in a different home,"$100,000-$175,000",No,Own,,Single family home,,"$1,200-$1,499",Good,Yes,Yes,Employment opportunities,,"Single family home,Independent Living Complex",Slightly important,Slightly important,Important,Extremely important,Important,Important,Extremely important,Slightly important,Extremely important,,,,No,5,3,2,4,1,6,"city ordinances enforced without having to appear at the city hall meeting to state why they should be enforced ",,Female,26 - 40,2,,,"$150,000-$199,999"
2021-08-30 15:42:50,2021-08-30 15:50:51,IP Address,38.121.121.22,100,480,True,2021-08-30 15:50:51,R_1F3TG5eM17B5ASj,,,,,41.261505126953125,-95.8303985595703125,anonymous,EN,Yes,More than 10 years,Oakland,,,,Not interested in a different home,"Less than $100,000",No,Own,,Single family home,,"$900-$1,199",Good,Yes,Yes,Not enough affordable housing,,,Important,Important,Important,Important,Not at all important,Not at all important,Very important,Not at all important,Extremely important,,,,No,5,1,2,4,3,6,,,Female,41-55,3,0,White or Caucasian,"$40,000-$59,999"
2021-08-30 15:38:23,2021-08-30 15:51:07,IP Address,207.199.255.197,100,764,True,2021-08-30 15:51:07,R_7PQ8mbPIx1IlwYN,,,,,41.38519287109375,-95.339996337890625,anonymous,EN,Yes,More than 10 years,Oakland,,,,Would be interested in senior housing,"$100,000-$175,000",Yes,Own,,Single family home,,$500-$699,Fair,No,Yes,Not enough affordable housing,,"Duplex,Independent Living Complex",Important,Important,Not at all important,Slightly important,Not at all important,Very important,Extremely important,Extremely important,Extremely important,,,"Library, park, dog park, pool, pickle ball court, community building, restaurants, fitness center,",No,3,2,1,4,5,6,,"Build apartments & duplexes for 55 and up
Build single family homes
Improve current buildings",Male,56-70,2,0,White or Caucasian,"$100,000-$149,999"
2021-08-30 15:54:19,2021-08-30 15:58:07,IP Address,207.199.214.137,100,227,True,2021-08-30 15:58:07,R_3P6uQw1ng6wfSCS,,,,,41.237701416015625,-95.42569732666015625,anonymous,EN,Yes,1-5 years,Carson,,,,"Would be interested in a new construction single-family home,Would be interested in an existing single-family home","$100,000-$175,000",Yes,Own,,Duplex/Fourplex,,"$1,200-$1,499",Excellent,Yes,Yes,Not enough quality housing,,Single family home,Important,Very important,Not at all important,Slightly important,Important,Very important,Extremely important,Important,Extremely important,,,"Restaurants, grocery store, library",No,5,4,1,3,2,6,,"Incentives to bring in more and improve current local businesses to make life more convenient ",Female,26 - 40,2,0,I identify with 2 or more groups,"$80,000-$99,999"
2021-08-30 16:16:21,2021-08-30 16:19:53,IP Address,174.198.81.193,100,211,True,2021-08-30 16:19:53,R_8rjCat52Sdrs8j7,,,,,41.148406982421875,-95.90670013427734375,anonymous,EN,Yes,More than 10 years,Oakland,,,,"Would be interested in up-sizing,Would be interested in a new construction single-family home,Would be interested in an existing single-family home","$175,000-$250,000",No,Rent,,Single family home,,"$900-$1,199",Good,Yes,Yes,Not enough affordable housing,,Single family home,Slightly important,Slightly important,Extremely important,Important,Very important,Important,Important,Not at all important,Important,,,,Yes,5,3,1,4,2,6,,,Female,26 - 40,2,1,White or Caucasian,"$80,000-$99,999"
2021-08-30 16:30:52,2021-08-30 16:34:57,IP Address,174.71.4.167,100,244,True,2021-08-30 16:34:57,R_3RdSVS4QP6flBBH,,,,,41.261505126953125,-95.8303985595703125,anonymous,EN,Yes,More than 10 years,Oakland,,,,Would be interested in a new construction single-family home,"$100,000-$175,000",Yes,Own,,Single family home,,$500-$699,Good,Yes,No,Not enough quality housing,,Single family home,Important,Important,Slightly important,Slightly important,Slightly important,Slightly important,Important,Not at all important,Important,Not at all important,,,Yes,1,5,4,2,3,6,,,Male,26 - 40,2,1,White or Caucasian,"$60,000-$79,999"
2021-08-30 16:29:17,2021-08-30 16:36:03,IP Address,38.121.121.22,100,406,True,2021-08-30 16:36:04,R_3Hp1sVmCBdKMMZk,,,,,41.261505126953125,-95.8303985595703125,anonymous,EN,Yes,More than 10 years,Unincorporated East Pottawattamie County,,,,Not interested in a different home,"$100,000-$175,000",Yes,Own,,Single family home,,$500-$699,Excellent,Yes,Yes,Employment opportunities,,"Independent Living Complex,Assisted Living Complex",Not at all important,Not at all important,Important,Important,Important,Not at all important,Extremely important,Slightly important,Extremely important,,,,No,5,3,2,4,1,6,,,Female,56-70,2,0,White or Caucasian,"$80,000-$99,999"
2021-08-30 16:47:02,2021-08-30 16:52:13,IP Address,38.121.112.24,100,310,True,2021-08-30 16:52:13,R_9mMissi0Nx82wXn,,,,,41.237701416015625,-95.42569732666015625,anonymous,EN,Yes,1-5 years,Carson,,,,"Would be interested in renting,Would be interested in a new construction single-family home,Would be interested in an existing single-family home","$100,000-$175,000",Yes,Own,,Single family home,,"$900-$1,199",Fair,Yes,No,Not enough quality housing,,"Duplex,Townhome,Condo,Single family home",Important,Important,Slightly important,Very important,Slightly important,Not at all important,Very important,Slightly important,Extremely important,Extremely important,,"Grocery stores and restaurants. ",No,3,4,5,1,2,6,,"Not enough housing for middle class families that is affordable and not in need of a lot of home improvements ",Female,41-55,2,2,Asian or Pacific Islander,"$60,000-$79,999"
2021-08-30 16:53:45,2021-08-30 16:58:16,IP Address,207.199.214.238,100,270,True,2021-08-30 16:58:16,R_RL8Po6ZjwkeX4GJ,,,,,41.237701416015625,-95.42569732666015625,anonymous,EN,Yes,6-10 years,Oakland,,,,"Would be interested in up-sizing,Would be interested in an existing single-family home","$175,000-$250,000",Yes,Own,,Single family home,,"$1,200-$1,499",Fair,No,No,Not enough quality housing,,"Townhome,Single family home",Slightly important,Slightly important,Important,Extremely important,Not at all important,Not at all important,Extremely important,Slightly important,Extremely important,,,,Yes,4,1,3,2,5,6,,,Female,26 - 40,2,0,White or Caucasian,"$100,000-$149,999"
2021-08-30 16:54:58,2021-08-30 17:00:22,IP Address,69.80.126.239,100,324,True,2021-08-30 17:00:23,R_31zKOjuaggQnPyP,,,,,41.311798095703125,-95.3834991455078125,anonymous,EN,Yes,More than 10 years,Oakland,,,,Not interested in a different home,"$100,000-$175,000",Retired,Own,,Single family home,,Less than $300,Good,Yes,,Not enough affordable housing,,"Condo,Single family home",Extremely important,Extremely important,Very important,Very important,Not at all important,Slightly important,Extremely important,Extremely important,Extremely important,,,"restaurants, shops",Yes,5,4,1,3,2,6,,attract more businesses,Female,56-70,1,0,White or Caucasian,"$40,000-$59,999"
