#Borrower_ID,Project_ID,Project_Check_Digit,Latitude,Longitude,State_County_FIPS_Code,Project_Name,Main_Address_Line1,Main_Address_Line2,Main_Address_Line3,City,State_Abbreviation,Zip_Code,Project_Size,Rental_Code,Labor_Housing_Type,Revitilization_Indicator,Tax_Status_Indicator,Date_Tax_Credit_Expires,Profit_Type_Code,Management_Name,Date_Of_Operation,Date_Restrictive_Clause_Expires,Total_1_Bedroom_Units,Total_2_Bedroom_Units,Total_3_Bedroom_Units,Total_4_Bedroom_Units,Total_5_Bedroom_Units,Total_6_Bedroom_Units,Total_Handicapped_Units,Vacant_Units,Rental_Assistance_Units
001983975,01,9,40.984719,-78.529928,42033,CURWENSVILLE PARK C/O STANFORD MGMT,100 4TH AVE,,,CURWENSVILLE,PA,16833,32,FA,0,,Y,12/31/2027,2,STANFORD MGMT LLC,7/28/1997,7/28/2047,6,20,6,0,0,0,2,1,32
002010206,01,4,38.736824,-120.812322,6017,PLACERVILLE APTS,2684 COLOMA CT,,,PLACERVILLE,CA,95667,84,FA,0,,Y,1/14/2025,2,MBS PROPERTY MANAGEMENT,5/5/1986,1/14/2040,34,44,6,0,0,0,0,1,83
002072320,01,4,34.691575,-79.905271,45025,WEST PINES APTS,113 CLYDE AVENUE,,,CHERAW,SC,29520,40,FA,0,1,Y,7/27/2047,2,"CAHEC MANAGEMENT, INC",11/16/1984,7/27/2037,8,32,0,0,0,0,0,0,31
002147192,03,8,40.07834,-93.59676,29079,TRENTON HGTS APTS,1912  EAST  13TH  STREET, , ,TRENTON,MO,64683,40,FA,0,,Y,12/31/2004,2,HAMILTON PROPERTIES CORP,8/1/1989,12/1/2004,8,16,16,0,0,0,0,4,32
002156314,01,6,36.688385,-94.963849,40115,AFTON VILLAGE LIMITED PARTNERSHIP,326 S MAPLE AVE, , ,AFTON,OK,74331,29,FA,0,,Y,11/9/2020,2,GREEN COMPANIES DEVELOPMENT GROU,9/11/1980,10/19/2025,4,7,3,15,0,0,3,4,26
002164475,01,5,35.430565,-86.796089,47117,MAPLE GROVE APTS,1230 S. ELLINGTON PKWY,,,LEWISBURG,TN,37091,90,FA,0,,Y,4/29/2034,2,VOLUNTEER MGMT,9/6/1985,4/29/2034,32,58,0,0,0,0,4,8,54
002335974,01,5,40.191485,-79.600351,42129,NEW STANTON COMMONS STANFORD MANAGEMENT,143 SUNNY LANE,,,HUNKER,PA,15639,30,FA,0,,Y,12/19/2025,2,STANFORD MGMT LLC,11/30/1994,11/30/2024,11,19,0,0,0,0,0,2,23
002529296,02,2,40.442162,-84.032231,39149,BLOSSOM VILLAGE APT,120 RED BUD RD, , ,JACKSON CENTER,OH,45334,18,FA,0,1,Y,12/31/2020,2,VALENTI HELD PROPERTY,12/12/1989,12/12/2009,18,0,0,0,0,0,1,3,16
002667344,01,4,40.29594,-86.515898,18023,PINES APARTMENS OF FRANKFORT,100 PINES DRIVE, , ,FRANKFORT,IN,46041,32,FA,0,,N,,2,RJ  WELLS MGMT CORP,4/14/1983,4/14/2003,16,16,0,0,0,0,0,1,20
002687180,01,8,36.922187,-121.759898,6087,LINCOLN SQUARE,1202 LINCOLN ST,,,WATSONVILLE,CA,95076,19,FA,2,,N,,3,EDEN HOUSING MANAGEMENT INC,10/10/1997,10/10/2017,0,4,11,4,0,0,0,1,14
002842600,01,6,35.467853,-95.531988,40091,CHECOTAH VLG APTS LTD PARTNERSHIP,805 W CHENAULT AVE,,,CHECOTAH,OK,74426,24,FA,0,,Y,6/7/2027,2,"SOUTHRIDGE APARTMENTS, INC",11/7/1985,6/7/2027,12,12,0,0,0,0,2,0,24
002857863,01,4,33.197928,-80.578542,45035,SHARON LANE APTS,123 SHARON LN, , ,ST GEORGE,SC,29477,12,FA,0,,Y,12/10/2029,2,"CAHEC MANAGEMENT, INC",3/30/1993,12/10/2044,0,12,0,0,0,0,1,0,12
002972205,01,2,35.092358,-81.652626,45021,HUNTINGTON SQ APTS,100 HUNTINGTON SQ DR, , ,GAFFNEY,SC,29340,48,FA,0,1,Y,9/25/2029,2,"CAHEC MANAGEMENT, INC",10/19/1982,9/25/2039,8,32,8,0,0,0,0,0,27
003000947,01,8,42.187922,-72.344163,25013,KIRKWOOD PLACE,4216 MAIN ST,,,PALMER,MA,1069,27,EL,0,,Y,10/1/2008,2,SK MANAGEMENT COMPANY,10/1/1993,10/1/2043,27,0,0,0,0,0,2,0,26
003018538,01,9,44.82193,-84.309006,26119,OAK LEAF MANOR,5215  CO. RD. 612,,,"LEWISTON,",MI,49756,27,EL,0,,N,,2,KMG PRESTIGE INC,11/27/1984,11/27/2004,17,10,0,0,0,0,2,1,21
003197371,01,9,35.958155,-85.022498,47035,MOUNTAIN VILLAGE APARTMENTS,30 MOUNTAIN VILLAGE LN,,,CROSSVILLE,TN,38555,48,FA,0,1,Y,8/27/2035,2,"SHERWOOD MANAGEMENT COMPANY, INC",1/31/1985,8/27/2045,24,24,0,0,0,0,3,9,14
003252484,01,8,34.54013,-91.96028,5085,WADE JOHNSON,803 SE 6TH STREET,,,ENGLAND,AR,72046,1,FA,1,,N,,3,,6/25/2020,6/25/2040,0,0,1,0,0,0,0,0,0
003509895,01,9,42.166618,-78.989708,36009,RANDOLPH TERRACE,140 JAMESTOWN ST,,,RANDOLPH,NY,14772,24,EL,0,,Y,12/31/1997,3,CATTARAUGUS COMMUNITY ACTION INC,1/27/1989,1/27/2009,24,0,0,0,0,0,2,3,2
003515927,02,2,44.889868,-68.66343,23019,CROSBY COURT APTS,10 CROSBY ST,,,ORONO,ME,4473,16,EL,0,,N,,2,HOUSING AUTHORITY CITY OF OLD TO,4/15/1986,4/15/2036,14,2,0,0,0,0,1,0,4
003749853,01,3,39.952412,-86.903198,18107,NEW MARKET APTS,CR 600 SOUTH, , ,NEW MARKET,IN,47965,16,FA,0,,N,,2,JUSTUS PROPERTY MANAGEMENT,5/26/1982,,8,8,0,0,0,0,0,3,7
003827921,01,3,40.261629,-94.19657,29081,WHITE OAKS HEIGHTS,202 N HIGHWAY EE, , ,NEW HAMPTON,MO,64471,12,FA,0,,N,,3,WHITE OAKS HEIGHTS INC,9/27/1977,9/8/1997,12,0,0,0,0,0,0,1,4
003904842,01,8,31.280653,-94.582496,48005,1ST HUNTINGTON APTS,415 NORTH HIGHWAY 69,,,HUNTINGTON,TX,75949,40,FA,0,,N,,2,"CHARGER MANAGEMENT COMPANY, LLC",12/7/1979,5/6/2039,8,32,0,0,0,0,2,5,33
003942140,02,2,44.680181,-70.144828,23007,DEER CROSSING APTS,264 TITCOMB HILL RD,,,FARMINGTON,ME,4938,24,EL,0,1,Y,12/31/2004,2,STANFORD MGMT LLC,4/1/1989,7/13/2027,15,9,0,0,0,0,2,4,24
003980860,01,7,39.151718,-79.502449,54093,PINEVIEW APT,39 CORTLAND ACRES LANE,,,THOMAS,WV,26292,24,EL,0,,N,,3,CORTLAND ACRES HOUSEING,7/25/1985,6/10/2007,24,0,0,0,0,0,0,0,0
004039054,02,2,41.285365,-72.606777,9009,CONCORD MEADOWS C/O WILDWOOD MGMT,70 WOODLAND RD,,,MADISON,CT,6443,90,EL,0,,N,,3,WILDWOOD PROPERTY MANAGEMENT,10/1/1978,1/22/2012,90,0,0,0,0,0,11,7,79
004170173,01,1,44.147449,-94.493393,27015,HANSKA HAUS,102 FIRST ST W, , ,HANSKA,MN,56041,8,EL,0,,N,,2,"LIFE STYLE, INC",9/5/1984,9/5/2004,8,0,0,0,0,0,1,0,6
004253908,05,4,39.713867,-90.721008,17149,DOGWOOD PROPERTIES,405 N. OAK, , ,GRIGGSVILLE,IL,62340,44,FA,0,,Y,12/31/2029,2,"MAROON DEVELOPMENT, INC",6/24/1982,1/1/2021,18,25,1,0,0,0,0,4,26
004309538,01,5,37.901383,-97.783605,20155,TOWNSHIP HALL APT,108 W MAIN ST,,,HAVEN,KS,67543,8,EL,0,,Y,5/10/2000,2,ROBERTS ACCOUNTING,5/10/1990,5/10/2010,8,0,0,0,0,0,0,0,4
004317066,01,9,39.564973,-94.445306,29049,"PLATTSBURG APARTMENTS, INC.",101 N CEDAR STREET, , ,PLATTSBURG,MO,64477,16,EL,0,,N,,3,PLATTSBURG APTS INC,2/28/1974,8/1/2003,16,0,0,0,0,0,0,1,7
004467428,01,4,43.589544,-96.591751,46099,TIMBERWOOD APTS,101 CEDAR,,,BRANDON,SD,57005,8,FA,0,,N,,2,SKOGEN COMPANY,2/1/1988,2/1/2008,0,8,0,0,0,0,0,2,8
004494040,01,4,40.365598,-83.740019,39091,RED BUD HILL APTS,868 E SANDUSKY AVE, , ,BELLEFONTAINE,OH,43311,48,FA,0,,N,,2,MAHARG REALTY INC,10/17/1986,10/17/2006,16,28,4,0,0,0,3,1,47
004499251,02,2,36.1083,-79.55357,37081,GUILFORD GREENE APT,702 SLADE ST,,,GIBSONVILLE,NC,27249,16,FA,0,,N,,2,"BRANTLEY PROPERTIES, INC",8/10/1993,6/30/2032,0,14,2,0,0,0,1,0,16
004900626,02,2,44.497223,-84.582153,26143,RIVER FOREST APTS C/O STRATFORD GRP,249 BALLENGER RD,,,ROSCOMMON,MI,48653,55,FA,0,,N,,2,STRATFORD GROUP,3/2/1981,3/2/2001,32,17,4,2,0,0,0,9,41
004906303,01,7,30.794552,-85.369072,12063,CEDAR CREEK APTS,3131 WILLOW STREET,,,COTTONDALE,FL,32341,25,EL,0,,Y,12/31/2024,3,PROPERTY OPERATIONS MGMT SPECIAL,11/22/1994,11/22/2044,24,1,0,0,0,0,1,0,24
004942312,07,2,43.31196,-89.53605,55025,DJP SCATTERED SITE,85 STRANGEWAY AVE,,,LODI,WI,53555,72,EL,0,,N,,2,WISCONSIN MGMT CO INC,5/25/1976,12/1/2022,40,32,0,0,0,0,0,6,62
005050778,03,1,41.588902,-85.827766,18039,MANOR APARTMENTS PDM PARTNERSHIP % JUSTUS PROP MGMT,500 MERCER AVENUE,,,GOSHEN,IN,46526,40,FA,0,,N,,2,JUSTUS PROPERTY MANAGEMENT,3/21/1978,3/21/1998,22,18,0,0,0,0,0,1,31
005084063,02,2,41.358606,-89.585707,17011,HERITAGE MANOR,604 S ARCH ST,,,WYANET,IL,613799683,8,FA,0,,N,,2,WDC  MGMT INC,4/17/1986,4/17/2006,6,2,0,0,0,0,0,0,8
005216008,04,2,46.10471,-97.639465,38081,FORMAN HOUSING,642 GREEN AVE SW,561 & 565 5TH ST SW,,FORMAN,ND,58032,16,FA,0,,N,,3,"ULRICH, ROBIN",6/12/1975,,1,15,0,0,0,0,0,2,9
005228822,01,7,43.372073,-99.864986,46123,6TH STREET APTS,649 W 6TH ST,,,WINNER,SD,57580,4,CG,0,,N,,3,"COMMUNITY CONNECTIONS, INC",9/19/1985,9/19/2005,0,4,0,0,0,0,4,0,4
005328892,01,3,42.836523,-71.646725,33011,GRANITE SQUARE,161 BRIDGE ST,,,MILFORD,NH,3055,54,EL,0,,Y,12/31/2004,2,SK MANAGEMENT COMPANY,6/1/1990,6/1/2040,54,0,0,0,0,0,3,1,49
005441252,01,6,37.979789,-90.0569,29186,AUDUBON ESTATES,185 SAINT GEMME ST,,,NEW OFFENBURG,MO,63670,24,EL,0,,N,,3,ASSOCIATED REALTY,11/28/1978,,24,0,0,0,0,0,0,3,17
005447937,01,4,38.832748,-91.136223,29219,MEADOW WOODS,710 EAST WOODS DR, , ,WARRENTON,MO,63383,16,EL,0,,Y,12/31/2030,2,MACO MANAGEMENT CO INC,7/25/2000,8/31/2030,16,0,0,0,0,0,1,0,10
005455201,01,0,35.511904,-78.736515,37085,LAKE RUN APTS,328 N WILLOW ST,,,ANGIER,NC,27501,18,FA,0,,N,,2,FORMOSA MANAGEMENT,3/5/1982,9/15/2040,4,14,0,0,0,0,0,2,17
005457967,04,4,44.761017,-92.786851,55093,ST CROIX MANOR,1028 BORNER ST N,,,PRESCOTT,WI,54021,48,EL,0,,N,,3,RIVER FALLS HA,12/4/1979,1/29/2001,48,0,0,0,0,0,2,1,18
005530070,01,0,30.286552,-82.964783,12121,MEADOWS APTS PHASE II,1600 SE HELVENSTON ST,OFFICE, ,LIVE OAK,FL,32060,36,EL,0,,Y,12/10/2060,2,"HALLMARK MANAGEMENT, INC",8/1/1985,12/10/2040,36,0,0,0,0,0,3,1,36
005530070,02,1,30.286552,-82.964783,12121,MEADOWS APTS. PHASE I,1600 SE HELVENSTON ST,OFFICE, ,LIVE OAK,FL,32060,51,FA,0,,Y,12/10/2060,2,"HALLMARK MANAGEMENT, INC",1/3/1978,12/10/2040,6,37,8,0,0,0,0,4,44
005559730,01,2,41.435711,-85.276824,18113,DRAKE TERRACE II KENDALLVILLE ASSOC PK HOUSING & MGT CO,721 BRIARWOOD DRIVE, , ,KENDALLVILLE,IN,46755,18,EL,0,,Y,12/31/2006,2,PK HOUSING AND MANAGEMENT CO,9/12/1991,9/12/2041,16,2,0,0,0,0,1,1,17
005598002,05,9,41.843609,-79.134628,42123,BUCHANAN COURT,104 BUCHANAN STREET,,,WARREN,PA,16365,18,FA,0,1,N,,3,RLJ MANAGEMENT COMPANY INC,6/14/1990,8/16/2046,6,12,0,0,0,0,2,1,18
005598002,07,2,41.958664,-78.633866,42083,ROSE TERRACE,79 LINCOLN AVE,,,BRADFORD,PA,16701,32,FA,0,1,N,,3,RLJ MANAGEMENT COMPANY INC,11/16/1987,8/16/2046,22,10,0,0,0,0,2,10,22
005598002,08,4,41.794435,-80.36807,42039,COUNTRY PLACE,23488 CREEK RD N,,,SPRINGBORO,PA,16435,24,FA,0,1,N,,3,RLJ MANAGEMENT COMPANY INC,4/20/1983,8/16/2046,8,16,0,0,0,0,2,3,23
005712928,01,1,37.737476,-120.946678,6099,RIVERVIEW GARDEN,2701 TOPEKA ST,,,RIVERBANK,CA,95367,42,FA,0,,Y,12/6/2028,2,BUCKINGHAM PROPERTY MANAGEMENT,4/29/1986,12/6/2043,16,26,0,0,0,0,3,2,41
005723908,01,6,41.484921,-120.545845,6049,MODOC WEST APTS,310 WEST SECOND ST,,,ALTURAS,CA,96101,12,FA,0,,N,,3,MBS PROPERTY MANAGEMENT,2/5/1979,1/1/2019,4,8,0,0,0,0,0,0,12
005806225,01,6,42.888198,-71.98502,33011,HEATHERBROOK APTS C/O THM INC,25 WILDER STREET,,,PETERBROUGH,NH,3468,26,FA,0,1,N,,2,"THM, INC",6/6/1985,9/17/2017,5,21,0,0,0,0,2,1,22
005813391,01,5,30.566227,-88.203407,1097,HOUNDS RUN APARTMENTS,5954 SPERRY ROAD, , ,THEODORE,AL,36582,188,FA,0,,Y,12/23/2028,2,"APARTMENT SERVICES & MANAGEMENT,",12/16/1986,12/23/2028,32,156,0,0,0,0,10,3,85
005939848,01,1,37.83763,-85.72783,21085,LEBANON JUNCTION GATES APTS,11700 S PRESTON HWY,,,LEBANON JUNCTION,KY,40150,16,EL,0,,Y,5/30/2038,2,HOMELAND INC,5/11/1990,5/30/2048,16,0,0,0,0,0,2,0,15
005962580,01,3,37.416128,-86.498244,21085,CANEY CREEK APTS,509 MORGANTOWN ST,,,CANEYVILLE,KY,42721,16,EL,0,,Y,4/23/2025,2,HOMELAND INC,4/30/1993,4/30/2043,16,0,0,0,0,0,2,0,16
006023356,01,3,44.060645,-93.220308,27147,CEDARDALE SOUTH APT,345 CEDARDALE DRIVE, , ,OWATONNA,MN,55060,34,EL,0,,N,,2,"LIFE STYLE, INC",7/1/1984,11/3/2033,33,1,0,0,0,0,3,1,19
006054018,01,7,42.791854,-77.798543,36051,BROOKSIDE APTS,300 LAUGHLIN LN,,,GENESEO,NY,14454,36,FA,0,1,N,,2,TWO PLUS FOUR MGMT,11/1/1986,11/1/2006,15,21,0,0,0,0,2,0,0
006084993,01,9,42.5342,-72.52243,25011,XIN MIAO JIANG SHAO ZHI KUO,405 FEDERAL ST,,,MONTAGUE,MA,1351,1,FA,1,,N,,3,"KUO, SHAO Z",1/11/2002,1/11/2035,0,0,1,0,0,0,0,0,0
006108424,02,2,42.578063,-77.932789,36051,HILLSIDE VILLAGE APTS,67 MILL ST,,,NUNDA,NY,14517,24,FA,0,,Y,1/1/2024,2,GVRPC,4/9/2008,4/9/2038,12,12,0,0,0,0,2,2,12
006166951,01,0,34.7927,-91.900382,5085,WOODLAKE APARTMENTS,1014 N CENTER ST,,,LONOKE,AR,72086,24,EL,0,,Y,4/28/2046,2,BUNN REAL ESTATE & PROPERTY MANA,7/13/1988,4/28/2046,20,4,0,0,0,0,2,1,11
006173400,01,7,42.684926,-75.497818,36017,SHERBURNE MEADOWS C/O BALDWIN RE MGMT,33 CLASSIC STREET,,,SHERBURNE,NY,134609798,52,MX,0,,N,,2,BALDWIN REAL ESTATE CORP.,5/14/1981,5/14/2001,36,16,0,0,0,0,0,1,48
006220901,01,3,40.93836,-100.155639,31047,NORTH STAR APTS,2016 AVENUE H, , ,GOTHENBURG,NE,69138,16,FA,0,,N,,2,LINDA RODINE,1/31/1984,3/4/2038,5,11,0,0,0,0,1,1,11
006255537,01,2,45.226787,-94.938233,27067,SPICER A APARTMENTS,188 LAKEVIEW DR,,,SPICER,MN,56288,8,FA,0,,N,,2,VAN BINSBERGEN & ASSOC,8/21/1973,8/21/1993,1,7,0,0,0,0,0,1,6
006434265,01,9,47.326579,-119.542073,53025,SUMMERWIND,340 E ST NE,,,EPHRATA,WA,98823,28,FA,0,,Y,12/31/2047,3,AD-WEST REALTY SERVICES,2/13/2008,2/13/2038,4,8,14,2,0,0,3,0,21
006474565,01,4,37.34898,-95.2913,20099,PRAIRIE MEADOWS APT,900 ALICE AVE,,,PARSONS,KS,67357,28,EL,0,,Y,2/22/2016,2,BELL MANAGEMENT INC,4/23/2001,4/23/2031,28,0,0,0,0,0,2,1,28
006499283,01,5,40.980541,-91.544771,19087,MT PLEASANT PARK,1202 N PALM AVE,,,MT PLEASANT,IA,52641,24,FA,0,,Y,7/21/2041,2,NATIONAL MANAGEMENT CORP.,12/17/1991,7/21/2041,8,8,8,0,0,0,2,2,23
006614361,03,6,40.19975,-100.624519,31087,COURT STREET VILLA,308 E. 1ST ST, , ,TRENTON,NE,69044,17,FA,0,,N,,3,JUDY TODD,12/15/1977,12/15/2027,17,0,0,0,0,0,0,0,6
006639093,02,2,20.686624,-156.365429,15009,"GOBLE, WOODRUFF C. GOBLE, CARMEN",355 KAMAOLE RD,,,KULA,HI,96790,1,FA,1,,N,,1,WOODRUFF C. & CARMEN GOBLE,11/27/1990,11/27/2010,0,1,0,0,0,0,0,0,0
006677797,01,4,43.08032,-85.907675,26139,LANGELAND FARMS INC,17085 48TH AVE,,,COOPERSVILLE,MI,49404,1,FA,1,,N,,1,LANGELAND FARMS INC,1/14/2000,1/14/2020,1,0,0,0,0,0,0,0,0
006842209,01,7,36.05633,-90.979317,5075,PARKWOOD APARTMENTS,600 NW EDGAR ST., , ,HOXIE,AR,72433,25,EL,0,,Y,6/3/2029,2,PHILLIPS DEV CORP,4/22/1993,12/19/2044,24,0,1,0,0,0,2,0,22
006883188,01,1,45.028947,-69.284107,23019,HILLSIDE PARK,33 PROSPECT ST,,,DEXTER,ME,4930,24,FA,0,1,N,,2,MAINE DEVELOPMENT ASSOCIATES,3/13/1987,3/13/2007,8,16,0,0,0,0,0,1,22
007031296,01,8,39.367633,-82.127739,39009,FIRST STREET VLG,40 EAST FIRST STREET,,,THE PLAINS,OH,45780,40,EL,0,,N,,2,CLASSIC A PROPERTIES,5/26/1982,5/26/2002,40,0,0,0,0,0,0,2,0
007122655,01,4,45.41182,-83.824144,26141,HARBOR HOUSE APTS STRATFORD GROUP,150 WENONAH,,,ROGERS CITY,MI,49779,48,FA,0,,N,,2,STRATFORD GROUP,10/9/1979,10/9/2029,8,36,4,0,0,0,0,3,0
007126211,01,1,42.067097,-91.798775,19113,PALO SENIOR HSG,300 CLINTON STREET,,,PALO,IA,52324,8,EL,0,1,N,,3,KARTAY APT MGMT,4/5/1982,10/1/2030,8,0,0,0,0,0,0,0,7
007237835,01,8,40.328727,-94.876108,29147,MARYVILLE PROPERTIES LP,300 E SUMMIT DR,,,MARYVILLE,MO,64468,24,FA,0,,Y,8/19/2007,2,FAIRWAY MANAGEMENT INC,4/1/1992,8/6/2042,0,24,0,0,0,0,1,1,13
007284929,01,6,41.464125,-96.777651,31053,NORTH BEND ESTATES,820 LOCUST ST,,,NORTH BEND,NE,68649,16,FA,0,,N,,3,CROWN POINTE MANAGEMENT,3/1/1987,3/1/2007,16,0,0,0,0,0,1,4,12
007334568,01,8,42.846238,-84.571288,26037,NORTH SCOTT VILLA C/O GARDNER MGMT CO,538 N SCOTT ST,,,DEWITT,MI,48820,50,FA,0,,N,,2,GARDNER MANAGEMENT,2/14/1995,2/14/2015,0,50,0,0,0,0,0,1,40
007393487,01,6,32.488125,-81.002548,45053,LOGAN LANE APTS,205 S LOGAN LN, , ,RIDGELAND,SC,29936,36,FA,0,,Y,12/10/2029,2,"CAHEC MANAGEMENT, INC",4/15/1993,12/10/2044,6,26,4,0,0,0,3,0,33
007451937,01,0,34.48042,-114.33134,4015,BRIARWOOD APARTMENTS,2080 MOYO DR, , ,LAKE HAVASU,AZ,86403,56,EL,0,,Y,12/31/2045,2,"VIM RESIDENTIAL MANAGEMENT, LLC",10/26/1988,2/28/2046,56,0,0,0,0,0,5,0,56
007750370,01,3,45.588015,-95.927933,27149,HERITAGE APTS (MORRIS),1003 SCOTT AVE, , ,MORRIS,MN,56267,13,FA,0,,N,,2,VAN BINSBERGEN & ASSOC,2/27/1986,2/27/2006,13,0,0,0,0,0,0,3,4
