StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q7,Q8,Q9,Q10,Q11,Q12,Q19,Q21,Q13,Q14,Q15,Q15_7_TEXT,Q16,Q17,Q17_5_TEXT,Q18,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_5_TEXT,Q23,Q24,Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6
2020-06-18 10:11:55,2020-06-18 10:14:11,IP Address,174.219.133.117,100,136,True,2020-06-18 10:14:12,R_4YmnbwmI2WizqUN,,,,,45.1692047119140625,-93.2487030029296875,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,No,30 min - 1 hr.,,,,Not enough affordable housing,,No,,,,,,,,,Male,41 - 55,More than 5 adults,4,White or Caucassian,,"$100,000 or more"
2020-06-18 10:12:19,2020-06-18 10:14:55,IP Address,66.172.196.117,100,155,True,2020-06-18 10:14:55,R_3ltZJlq7HrRHqQ0,,,,,42.52490234375,-96.5074005126953125,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Good,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,4,3,2,1,,,,,Female,26 - 40,1,2,White or Caucassian,,"$20,000 - $39,999"
2020-06-18 10:13:47,2020-06-18 10:16:23,IP Address,66.172.227.148,100,156,True,2020-06-18 10:16:23,R_2QR50ydOjBjdqK1,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$700 - $899,Good,Yes,Yes,No,30 min - 1 hr.,,,,Not enough of the right home styles,,Yes,4,3,2,1,,,,,,,2,2,Don't wish to answer,,"$100,000 or more"
2020-06-18 10:14:34,2020-06-18 10:18:32,IP Address,174.219.22.14,100,237,True,2020-06-18 10:18:32,R_eaLmGT9bJLLibVT,,,,,44.954803466796875,-93.15509796142578125,anonymous,EN,Yes,6 - 10 years,Rent,Single-family home,$500 - $699,Fair,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,3,2,1,4,,,,,Female,26 - 40,1,0,White or Caucassian,,"$40,000 - $59,999"
2020-06-18 10:17:03,2020-06-18 10:19:04,IP Address,74.221.45.17,100,121,True,2020-06-18 10:19:04,R_AGVbANSKxysvd1T,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,No,Yes,Yes,,,,,Not enough affordable housing,,No,4,2,1,3,,,landlocked,,Female,26 - 40,2,2,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 10:15:56,2020-06-18 10:20:47,IP Address,66.172.227.156,100,291,True,2020-06-18 10:20:48,R_2ZKs2YantVeRCxU,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,Retired,,,,,Not enough affordable housing,,No,5,1,1,1,,,Full communication for the whole town,,Female,56 -70,2,0,White or Caucassian,,"$100,000 or more"
2020-06-18 10:24:21,2020-06-18 10:33:53,IP Address,66.172.230.236,100,571,True,2020-06-18 10:33:53,R_W38X4OW5Doh4m3L,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Excellent,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,5,3,1,4,2,Duplexes Single floor for the older population,I think we need a vision first and then a leader to step up and take on the project and get others involved along the way.,Prior planning and planning for the future. We always seem to be a step behind. Incentives could work. I’d really like to see someone come in and flip these older neglected homes. Most of them still have good bones.,Female,41 - 55,3,1,White or Caucassian,,"$100,000 or more"
2020-06-18 10:32:56,2020-06-18 10:36:06,IP Address,100.42.84.239,100,190,True,2020-06-18 10:36:07,R_bdd4YekaiseKpUd,,,,,43.1609039306640625,-95.3227996826171875,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Excellent,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,4,3,2,1,,,"Too many people trying to control positive ideas. Need a committee and people who want the idea to grow but sadly here in town seems like too many people want to be in charge and it prevents things from happening ","More affordable houseboy that fits with the income levels here ",Female,41 - 55,2,2,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 10:45:54,2020-06-18 10:47:34,IP Address,174.217.20.189,100,99,True,2020-06-18 10:47:35,R_vVNfUpLhwZBIfe1,,,,,41.576904296875,-93.80210113525390625,anonymous,EN,No,,,,,,,,No,Less than 30 minutes,I own a home elsewhere,,Better community amenities,Not enough affordable housing,,No,4,2,1,3,,,lack of money,look for grants,Female,26 - 40,2,4,White or Caucassian,,"$80,000 - $99,999"
2020-06-18 10:40:47,2020-06-18 10:47:50,IP Address,66.172.218.169,100,423,True,2020-06-18 10:47:50,R_1E0dO3FROQXD45C,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,Less than $300,Good,No,No,Retired,,,,,Do not qualify for home mortgage,,Yes,4,2,1,3,,,"Lack of time,people and money says it all",Better advertising?,Female,41 - 55,2,0,White or Caucassian,,"$19,999 or less"
2020-06-18 10:50:10,2020-06-18 10:51:41,IP Address,66.172.251.22,100,90,True,2020-06-18 10:51:41,R_DzWBiFQHlzBKDPX,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,Less than 1 year,Own,Single-family home,"$1,500 - $1,999",Good,Yes,,Yes,,,,,Housing quality if poor,,,,1,2,,,,,,Female,26 - 40,2,0,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 10:46:08,2020-06-18 10:53:24,IP Address,174.219.153.85,100,435,True,2020-06-18 10:53:24,R_1E5syoHYATtJLXg,,,,,45.064605712890625,-93.38359832763671875,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Good,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,5,2,1,4,3,"Build homes $100,000 or less. Most of the residents can not afford homes over $100,000","Not enough high paying jobs to afford $100,000 homes. Most residents are factory workers ",,Male,26 - 40,1,3,White or Caucassian,,"$40,000 - $59,999"
2020-06-18 10:56:19,2020-06-18 10:58:28,IP Address,66.172.218.154,100,128,True,2020-06-18 10:58:28,R_3HTXSLRWHjD2GsZ,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Other,Single-family home,$300 - $499,Fair,No,Yes,Yes,,,,,Not enough affordable housing,,No,4,3,1,2,,,,,Female,26 - 40,3,0,White or Caucassian,,"$80,000 - $99,999"
2020-06-18 10:55:14,2020-06-18 11:01:46,IP Address,166.182.80.12,100,391,True,2020-06-18 11:01:46,R_29nUM578r3d4pHY,,,,,41.6006011962890625,-93.61119842529296875,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,Yes,,,,,Other,,No,5,4,1,2,3,"Get the city budget under control so the we can prosper going forward. ",,,Male,26 - 40,2,2,White or Caucassian,,"$80,000 - $99,999"
2020-06-18 11:01:05,2020-06-18 11:04:00,IP Address,66.172.250.145,100,175,True,2020-06-18 11:04:01,R_3exeFjJYl8y4LLf,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,Yes,,,,,Housing quality if poor,,No,3,1,4,2,,,"We keep loosing local amenities in terms of business - restaurants, etc. ",,Male,26 - 40,2,0,White or Caucassian,,"$100,000 or more"
2020-06-18 10:57:30,2020-06-18 11:04:46,IP Address,66.172.250.56,100,436,True,2020-06-18 11:04:46,R_3HLkmIbOmKFF9ji,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,1 - 5 years,Other,Single-family home,$700 - $899,Fair,Yes,Yes,No,Less than 30 minutes,,,,Do not qualify for home mortgage,,Yes,4,2,1,3,,,,"Create a program that helps those with poor credit build up their credit to have ability to get home loan. Also assistance in essential home repairs such as foundation problems. ",Female,26 - 40,2,2,White or Caucassian,,"$20,000 - $39,999"
2020-06-18 11:03:19,2020-06-18 11:05:29,IP Address,66.172.250.254,100,129,True,2020-06-18 11:05:29,R_3NXpMeQvOOEnD3I,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,4,2,1,3,,,,,Female,26 - 40,2,5+,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 11:07:58,2020-06-18 11:12:22,IP Address,174.219.129.113,100,263,True,2020-06-18 11:12:22,R_UROt6F8Q14Affrz,,,,,45.064605712890625,-93.38359832763671875,anonymous,EN,Yes,10+ years,Own,Single-family home,$700 - $899,Good,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,4,2,1,3,,,,,Female,41 - 55,2,0,White or Caucassian,,"$80,000 - $99,999"
2020-06-18 11:11:55,2020-06-18 11:13:41,IP Address,66.172.250.61,100,105,True,2020-06-18 11:13:41,R_3nC0XGxNwQUAZOu,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,$300 - $499,Good,No,No,Yes,,,,,Housing quality if poor,,No,,,,,,,,,Female,26 - 40,2,0,White or Caucassian,,"$19,999 or less"
2020-06-18 11:14:28,2020-06-18 11:27:56,IP Address,173.30.41.100,100,808,True,2020-06-18 11:27:56,R_egS0FxQqvxYMTnz,,,,,41.494293212890625,-90.50009918212890625,anonymous,EN,Yes,10+ years,Own,Single-family home,$700 - $899,Good,Yes,Yes,No,Less than 30 minutes,,,,Not enough affordable housing,,Yes,4,1,2,3,5,Get rid of the politics.,"Confrontational politics, personal and corporate agendas, and us versus them environment.","Commitment by leadership to be objective, inclusive, responsive (not reactive), non-partisan, and stop putting castles over community. We are more than fifty-year-old castles.",Male,41 - 55,2,0,Other,Human,"$40,000 - $59,999"
2020-06-18 11:26:19,2020-06-18 11:34:20,IP Address,100.42.84.179,100,481,True,2020-06-18 11:34:20,R_1poPsxF5T51gSCo,,,,,42.748199462890625,-95.55680084228515625,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Good,Yes,Yes,Retired,,,,,Housing quality if poor,,No,,2,1,,,,"The city has let things go so long there is no money. We don't get things done. We talk, talk, talk and nothing happens.","Get money through fundraising and/or grants, hire someone like Ray Kacmarynski, have him do the work, collect from homeowner that has signed up to participate over an agreed length of time, even if it's 15 years. length of time",Female,56 -70,2,0,White or Caucassian,,"$40,000 - $59,999"
2020-06-18 11:27:13,2020-06-18 11:40:01,IP Address,66.172.250.159,100,768,True,2020-06-18 11:40:02,R_10Djx1w8ocLyHh1,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,1 - 5 years,Rent,Duplex,$300 - $499,Poor,Yes,Yes,No,Less than 30 minutes,,,,Not enough affordable housing,,No,2,4,3,1,,,"More housing could be built & affordable for single household incomes. ",Looks for grants that could help build housing. Help renters find assistance to afford housing. Have a place they can go to look at all housing in Ida Grove so they don’t have to search multiple places or by word of mouth.,Female,41 - 55,1,1,White or Caucassian,,"$20,000 - $39,999"
2020-06-18 11:40:22,2020-06-18 11:44:11,IP Address,66.172.217.172,100,228,True,2020-06-18 11:44:11,R_qPgHFtnPWp75og9,,,,,42.497100830078125,-95.57160186767578125,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$300 - $499,Excellent,Yes,Yes,Retired,,,,,Housing quality if poor,,No,2,4,1,3,,,,,Female,56 -70,2,0,White or Caucassian,,"$19,999 or less"
2020-06-18 11:39:27,2020-06-18 11:45:36,IP Address,45.52.240.126,100,368,True,2020-06-18 11:45:36,R_1FgIibsUnxDzfuC,,,,,42.798492431640625,-96.16629791259765625,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Excellent,Yes,Yes,Retired,,,,,Not enough of the right home styles,,Yes,,3,1,2,,,"Senior type housing to free up occupied houses. For example, we would love to downsize from our 5 bedroom, 3 bathroom, double lit home but there is nothing available that we would move to. ",Build single story housing for seniors to free up affordable quality homes currently occupied by seniors,Female,71 +,2,0,White or Caucassian,,"$40,000 - $59,999"
2020-06-18 11:44:40,2020-06-18 11:49:59,IP Address,66.172.251.55,100,319,True,2020-06-18 11:50:00,R_3JIaYOJPQyAiGae,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Excellent,Yes,Yes,Yes,,,,,Not enough affordable housing,,Yes,4,2,1,3,,,The problem we have in Ida Grove is too many run down rental properties and landlords that are un willing to keep up their properties and keep them in a liveable condition.,Fix up excisting empty houses and force lanclords to fix up and maintain their rental properties.,Female,41 - 55,2,0,Don't wish to answer,,"$60,000 - $79,999"
2020-06-18 11:40:51,2020-06-18 11:51:37,IP Address,45.52.253.106,100,645,True,2020-06-18 11:51:37,R_3fltcclG9IgkTwA,,,,,42.798492431640625,-96.16629791259765625,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Excellent,No,Yes,Retired,,,,,Not enough of the right home styles,,No,4,5,1,2,3,senior townhouses or duplexes,"Many properties are in disrepair & need attention. Our infrastructure from; old sewers to streets to green spaces need updating. We have lost retailers making IG less attractive for people, especially families to come here to live. ",Make the current landlods responsible to keep their rental properties attractive.,Female,71 +,1,0,White or Caucassian,,
2020-06-18 11:48:04,2020-06-18 11:52:43,IP Address,66.172.250.232,100,279,True,2020-06-18 11:52:43,R_1FEwXbjT1lpxGBm,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$300 - $499,Good,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,4,1,2,3,,,"Too many not working, or don't care what their house/yard look like.","Limit how many each house a Landlord can have.  Too many of the same ""slum""lords, and they don't take care of them. Housing is so expensive in Ida Grove, reevaluate wages in the town to house prices. ",Female,26 - 40,2,4,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 11:50:53,2020-06-18 11:54:44,IP Address,107.77.207.124,100,230,True,2020-06-18 11:54:44,R_3noLZau1m0P7N0A,,,,,41.848297119140625,-87.651702880859375,anonymous,EN,Yes,10+ years,Own,Single-family home,$700 - $899,Fair,Yes,Yes,Yes,,,,,Other,,Yes,,2,1,,,,,,Female,56 -70,1,0,White or Caucassian,,"$20,000 - $39,999"
2020-06-18 11:47:44,2020-06-18 11:55:22,IP Address,45.52.240.36,100,457,True,2020-06-18 11:55:22,R_2z5v9ERW2fFUsxb,,,,,42.6190948486328125,-95.9761962890625,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,"$1,200 - $1,499",Good,Yes,Yes,Yes,,,,,Do not qualify for home mortgage,,No,,,,,,,,,Female,26 - 40,2,2,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 11:58:50,2020-06-18 12:06:43,IP Address,66.172.218.238,100,473,True,2020-06-18 12:06:44,R_DCYWGxAm4iLi557,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,$500 - $699,Fair,No,No,No,30 min - 1 hr.,,,,Housing quality if poor,,No,4,1,2,3,,,Money is the main issue. Our water/sewer bill has already been raised to pay for other things.,,Female,19 - 25,2,2,White or Caucassian,,"$40,000 - $59,999"
2020-06-18 12:08:58,2020-06-18 12:12:24,IP Address,45.52.253.180,100,206,True,2020-06-18 12:12:24,R_1JFOzZ7FtVdxLNg,,,,,42.798492431640625,-96.16629791259765625,anonymous,EN,No,,,,,,,,Retired,,I couldn't find rental housing in Ida Grove,,"More rental options,More affordable housing options",Not enough affordable housing,,Yes,3,2,4,1,,,,,Female,56 -70,More than 5 adults,3,White or Caucassian,,"$40,000 - $59,999"
2020-06-18 12:15:39,2020-06-18 12:20:10,IP Address,66.172.250.135,100,271,True,2020-06-18 12:20:11,R_2EBpokWTGzaaAMz,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,No,Yes,Yes,,,,,Housing quality if poor,,No,4,1,2,3,,,Illegal activity happening around certain areas of town,"Clean up some of the run down areas of town, enforce ordinances",Female,26 - 40,2,3,White or Caucassian,,"$80,000 - $99,999"
2020-06-18 12:17:39,2020-06-18 12:22:00,IP Address,107.77.209.35,100,260,True,2020-06-18 12:22:01,R_8bKxanbFLn8pOLL,,,,,41.891998291015625,-87.6416015625,anonymous,EN,Yes,Less than 1 year,Rent,Single-family home,$700 - $899,Fair,Yes,Yes,No,Less than 30 minutes,,,,Do not qualify for home mortgage,,Yes,2,4,3,1,,,"Volunteering or donations ","More resources for those who want to buy but can’t get a loan due to bad credit ",Female,26 - 40,2,4,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 12:26:03,2020-06-18 12:28:23,IP Address,66.172.217.98,100,139,True,2020-06-18 12:28:23,R_3LaODOQjJ1xdd0X,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Rent,Single-family home,"$900 - $1,199",Fair,Yes,Yes,Yes,,,,,Other,I don’t want to live here much longer,No,1,4,3,2,,,,,Female,26 - 40,1,2,Don't wish to answer,,"$20,000 - $39,999"
2020-06-18 12:19:12,2020-06-18 12:29:58,IP Address,66.172.251.97,100,646,True,2020-06-18 12:29:58,R_QgBhmRUXYqGSgJr,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Excellent,No,Yes,Yes,,,,,Housing quality if poor,,Yes,4,1,2,3,,,"Lack of the city having finds to put in streets, sewer, water etc so available lots can be put into use for residential new builds. Real estate taxes need to be addressed. Not allowing the budget to include improvements of this type for Ida Grove is unfortunate.",Stated is last answer,Male,56 -70,2,0,White or Caucassian,,"$100,000 or more"
2020-06-18 12:32:14,2020-06-18 12:34:58,IP Address,66.172.250.67,100,163,True,2020-06-18 12:34:59,R_2R8l5sGhSMGhq5y,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,$700 - $899,Fair,Yes,Yes,No,30 min - 1 hr.,,,,Do not qualify for home mortgage,,No,3,1,2,4,,,"Inability to enforce citywide ordinances consistently. If you can’t help the existing, how do you help new?","Better leadership in regards to community development ",Female,26 - 40,2,3,White or Caucassian,,"$40,000 - $59,999"
2020-06-18 12:42:08,2020-06-18 12:46:03,IP Address,45.53.67.92,100,234,True,2020-06-18 12:46:03,R_3NP9bqFiYXvQ44X,,,,,42.798492431640625,-96.16629791259765625,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Excellent,Yes,Yes,No,Less than 30 minutes,,,,Not enough affordable housing,,No,4,2,1,3,,,,,Female,41 - 55,1,0,White or Caucassian,,"$20,000 - $39,999"
2020-06-18 13:16:04,2020-06-18 13:21:53,IP Address,50.120.255.2,100,348,True,2020-06-18 13:21:53,R_2WU1cDk7a9anLwV,,,,,42.5059967041015625,-94.182403564453125,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Excellent,No,Yes,Yes,,,,,Not enough affordable housing,,Yes,4,1,3,2,,,lack of builders/developers/building sites,,Male,56 -70,2,0,White or Caucassian,,"$100,000 or more"
