StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_5_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
2021-10-13 12:41:02,2021-10-13 12:45:37,IP Address,209.2.159.121,100,275,True,2021-10-13 12:45:37,R_10MyXdqdREKAIQg,,,,,41.7552032470703125,-91.13690185546875,anonymous,EN,Yes,1-5 years,,,,,,Yes,Rent,,Single family home,,"$1,500-1,999",Fair,Yes,Yes,Not enough of the right home styles,,Duplex,Yes,2,3,4,1,5,,not enough houses being made. more affordable houses need to be constructed,"help bring the prices down a bit. rental properties are extremely high. ",Male,26 - 40,2,3,Hispanic or Latino,"$100,000-$149,999"
2021-10-13 12:54:48,2021-10-13 13:07:36,IP Address,40.134.188.1,100,767,True,2021-10-13 13:07:36,R_3EapKgmydRWouLa,,,,,41.2910003662109375,-91.20880126953125,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,Less than $300,Good,No,Yes,Other,Price too high for young families,,No,5,3,1,2,4,Stricter qualifications for assistance housing,"Market prices too high for young families, too much emphasis on low-rent attracts low-rent tenants and resources end up depleted.","Give a financial incentive for people to buy single-family dwellings, and improve infrastructure so residents feel that they are getting something for their tax dollars.  When people have pride in their home they tend to stay in a community.  People don't get that pride with rental properties or apartments.  If the private sector sees a benefit to compete for that market, it will work out way better than entitlements. ",Male,41-55,2,1,White or Caucasian,"$100,000-$149,999"
2021-10-13 13:06:57,2021-10-13 13:11:21,IP Address,132.161.211.82,100,264,True,2021-10-13 13:11:22,R_3Rexi0Y5j0nfGag,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,No,,I own a home elsewhere,,More homeownership options,Not interested in a different home,"$100,000-$175,000",,,,,,,,,,Not enough quality housing,,Duplex,No,3,4,1,2,5,,,,Male,41-55,2,3,White or Caucasian,"$100,000-$149,999"
2021-10-13 13:00:11,2021-10-13 13:20:47,IP Address,40.132.83.13,100,1235,True,2021-10-13 13:20:47,R_1jU6Z2wfiuUGSTB,,,,,41.6381072998046875,-93.62030029296875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,Less than $300,Excellent,Yes,Yes,Do not qualify for a home mortgage,,Independent Living Complex,Yes,1,2,4,3,5,,COST & PROPERTY TAXES,BRING HIGHER PAYING JOBS TO GRINNELL,Female,56-70,2,0,White or Caucasian,"$80,000-$99,999"
2021-10-13 13:17:17,2021-10-13 13:33:08,IP Address,173.191.52.157,100,950,True,2021-10-13 13:33:09,R_3iU1rbpf5XwSR4q,,,,,41.407806396484375,-92.91719818115234375,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,$300-$499,Excellent,Yes,Yes,Not enough affordable housing,,Independent Living Complex,No,2,3,1,4,5,,price,Build housing that fits in the price range of the majority of the people. Most new houses are priced for higher income people,Male,56-70,2,0,White or Caucasian,"$100,000-$149,999"
2021-10-13 13:37:56,2021-10-13 14:12:16,IP Address,98.21.86.133,100,2059,True,2021-10-13 14:12:16,R_1ImXvEN51UA6M5X,,,,,41.6891937255859375,-93.05339813232421875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$1,200-$1,499",Excellent,Yes,No,Other,,,Yes,3,2,4,5,1,Develop Grinnell's Interstate Corridor. Focus on Population increase. Focus on making a more hospitable business environment with livable wages,"Develop Grinnell's Interstate Corridor. Obtain a corridor study from an outside non-city affiliated 3rd party. Focus on making a hospitable business environment with livable wage. Incentivize and diversify relationships with commercial/industrial developers/investors. Provide a local, city sponsored financial incentive to any/all recently located Grinnell single family buyers. Move to Grinnell and get $5,000.00 in transaction credit? Move to Grinnell, purchase a single family home and enjoy 3 years 100% property tax abatement. ","Close the gap. Grinnell has plenty of residents on the top and bottom of income and assets. Grow the professional sphere. Develop Grinnell's income diversity. ",Male,41-55,1,1,I identify with 2 or more groups,"$200,000 or more"
2021-10-13 14:10:12,2021-10-13 14:14:27,IP Address,184.81.199.37,100,255,True,2021-10-13 14:14:27,R_RdZPRiwaONKKrWF,,,,,43.1035003662109375,-94.69170379638671875,anonymous,EN,Yes,6-10 years,,,,,,Yes,Own,,Single family home,,"$1,200-$1,499",Good,Yes,Yes,Not enough quality housing,,Duplex,Yes,4,3,1,2,5,,,,Male,26 - 40,2,1,White or Caucasian,"$80,000-$99,999"
2021-10-13 14:23:43,2021-10-13 14:32:56,IP Address,209.60.17.226,100,552,True,2021-10-13 14:32:57,R_p3KjMVCNgbC0rap,,,,,41.197601318359375,-97.5579986572265625,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$2,000 or more",Excellent,Yes,No,,,,No,4,1,2,3,5,,High property tax gets passed on to renters. Renters not taking care of the places they rent.,"Helping reduce property taxes to lower rental costs. Or helping to subsidize high rental prices for quality places. ",Male,26 - 40,1,2,Don’t wish to answer,"$100,000-$149,999"
2021-10-13 14:54:00,2021-10-13 15:03:18,IP Address,166.181.81.169,100,558,True,2021-10-13 15:03:19,R_5apGuVvmIr5AQZb,,,,,41.6020965576171875,-93.612396240234375,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$1,500-1,999",Excellent,No,Yes,Not enough affordable housing,,Independent Living Complex,No,4,3,2,1,5,,"The price of building a new home is expensive ","Encourage building contractors to build moderately affordable homes ",Male,,2,0,White or Caucasian,"$80,000-$99,999"
2021-10-13 16:11:18,2021-10-13 16:22:51,IP Address,40.132.83.13,100,692,True,2021-10-13 16:22:51,R_1gCrTBkomQcJGZi,,,,,41.6381072998046875,-93.62030029296875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,$300-$499,Excellent,Yes,Yes,Not enough quality housing,,Duplex,Yes,2,1,5,4,3,Provide assistance and incentives for low income and first time home buyers,"Old school thinking that everyone can afford or wants to live in a traditional single family home. Provide quality diverse options at various price points, locations, and styles. Only real progress is being made by outside developers - maybe build the capacity of our local contractors and builders - provide training to them to access tools and incentives to lower the cost of construction and development. It would be nice to see local realtors roll up their sleeves and help with more than just sales.","1. Stop putting low income people in only certain places in Grinnell. NE Grinnell has very little housing diversity and housing is more expensive there. 
2. Our next single family development should be attractive - water/ponds, interesting topography, off grid, near a natural resource area, etc.
3. Implement the rental inspection program - where possible help with improvements with small grants.
4. Maximize infill development when possible first.
5. A quality affordable senior living complex in the best location we can find (as close to downtown and Grinnell College as possible).",Male,41-55,2,1,White or Caucasian,"$200,000 or more"
2021-10-13 18:33:28,2021-10-13 19:01:23,IP Address,173.18.53.184,100,1675,True,2021-10-13 19:01:24,R_2Vef1guyZm4Tfmn,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,Less than $300,Excellent,Yes,Yes,Not enough quality housing,,Duplex,Yes,2,3,4,1,5,,"Don't put multi-housing within neighborhoods. These need to be built in new areas. Single family housing should be built in open lots and run down housing within neighborhoods. Supportive programs to remove old houses (city buy outs) to make room for new houses. This would help with the high cost of lots. Quality built housing is a must. We don't want cheap material and workmanship stock in our community. We need to increase our city limits and find a way break the landlock around the community. Long time family ownership of land around Grinnell is too expensive to buy. They are preventing not only housing to grow but business growth as well. Find out WHY the land by the interstate has infrastructure but no businesses. These landowners are holding our community growth with their selling business practices. What a waste of roads with no usage.   ","Annex more land and put in infrastructure. Establish a program to support the removal of old housing AND crackdown on inhabitable living conditions. Nuisance ordinance needs more teeth! Improve ROADS, ROADS, ROADS! Having holes and repaired infrastructure holes all summer and sometimes a year later before resurfaced is ridiculous. Nice roads are an important part of curb appeal. I wouldn't buy a house on the North side of town just because of the horrible road conditions.  The south side has old and less than ideal housing stock, but the old roads are in much better shape.",Female,41-55,2,0,White or Caucasian,"$100,000-$149,999"
2021-10-13 19:19:20,2021-10-13 19:25:22,IP Address,173.26.240.52,100,362,True,2021-10-13 19:25:23,R_1CscwywuU5v8qJv,,,,,42.040496826171875,-92.91269683837890625,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$1,200-$1,499",Good,Yes,Yes,Not enough quality housing,,Duplex,Yes,1,4,3,2,5,,"Investors ","Hire GOOD contractors that actually have pride in their work. 

Makes sure housing is up to date on HVAC/GAS/ELECTRIC and is EFFICIENT. 

Invest in nice properties like townhouses and single family dwellings (see Ankeny and West Des Moines for etc). ",Female,26 - 40,2,1,White or Caucasian,"$100,000-$149,999"
2021-10-13 20:47:18,2021-10-13 20:55:31,IP Address,98.16.112.81,100,492,True,2021-10-13 20:55:31,R_2dFSM34QzlbWPFe,,,,,41.3105926513671875,-93.096099853515625,anonymous,EN,Yes,More than 10 years,,,,,,Retired,Own,,Single family home,,Less than $300,Excellent,Yes,Yes,Not enough quality housing,,Independent Living Complex,Yes,5,2,3,1,4,,,Addressed in previous comment,Female,71+,2,0,White or Caucasian,"$80,000-$99,999"
2021-10-13 21:20:28,2021-10-13 21:28:14,IP Address,173.23.199.140,100,466,True,2021-10-13 21:28:15,R_10HJsqaedLlvV3e,,,,,42.040496826171875,-92.91269683837890625,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Rent,,Single family home,,$700-$899,Good,Yes,Yes,Not enough affordable housing,,"Duplex,Independent Living Complex",No,5,3,4,1,2,Less HUD,"It costs a lot to live in Grinnell ",Not sure,Male,41-55,2,3,White or Caucasian,"$60,000-$79,999"
2021-10-14 05:44:21,2021-10-14 05:50:00,IP Address,70.39.15.52,100,339,True,2021-10-14 05:50:01,R_3pmOezaiaJqXze6,,,,,41.56689453125,-92.7884979248046875,anonymous,EN,No,,"I own a home elsewhere,Other",TOO EXPENSIVE!!!,More affordable housing options,Not interested in a different home,"Less than $100,000",,,,,,,,,,Not enough affordable housing,,,No,4,1,2,3,5,,,,Female,56-70,2,0,White or Caucasian,"$60,000-$79,999"
2021-10-14 10:12:19,2021-10-14 10:17:39,IP Address,69.63.16.2,100,319,True,2021-10-14 10:17:39,R_3PvE0v9HM0DUebp,,,,,41.7440948486328125,-91.61319732666015625,anonymous,EN,Yes,Less than 1 year,,,,,,Yes,Own,,Single family home,,"$1,500-1,999",Good,Yes,Yes,Not enough affordable housing,,,Yes,3,4,2,1,5,,"Cost of living is fairly high here, despite small amount of amenities that go along with it. Not many houses under the 150k mark.","Daycare is a pretty large issue in town, so finding affordable daycare would help a lot, outside of that housing/taxes are expensive in this area, so finding housing under 150k if pretty difficult here unless it needs significant work.",Male,26 - 40,2,2,White or Caucasian,"$100,000-$149,999"
2021-10-14 12:09:05,2021-10-14 12:15:08,IP Address,209.2.159.121,100,362,True,2021-10-14 12:15:09,R_TnnBgDiR2ML6CBz,,,,,41.7552032470703125,-91.13690185546875,anonymous,EN,Yes,1-5 years,,,,,,Yes,Own,,Single family home,,"$1,200-$1,499",Good,Yes,Yes,Not enough affordable housing,,,No,5,1,2,3,4,Anything but low rent units,high taxes,,Male,26 - 40,2,2,White or Caucasian,"$40,000-$59,999"
2021-10-14 15:05:00,2021-10-14 15:08:42,IP Address,132.161.237.186,100,222,True,2021-10-14 15:08:42,R_2SddccqVB5BsAoh,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,1-5 years,,,,,,Yes,Own,,Single family home,,"$2,000 or more",Excellent,Yes,Yes,Not enough quality housing,,,Yes,3,4,1,2,5,,,,Male,26 - 40,2,0,White or Caucasian,"$100,000-$149,999"
2021-10-14 15:10:41,2021-10-14 15:16:12,IP Address,132.161.177.178,100,331,True,2021-10-14 15:16:12,R_2XaEnedZLGRHkPl,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,1-5 years,,,,,,Yes,Rent,,Apartment,,$300-$499,Good,Yes,Yes,Other,Not sure,Duplex,No,4,2,1,3,5,,Many predatory landlords do not maintain their properties well in order to keep costs down and maximize their profits,A rental inspection program and an easily accessible system in which tenants could easily hold their landlords accountable,Male,18 - 25,2,0,White or Caucasian,"$60,000-$79,999"
2021-10-14 15:28:58,2021-10-14 15:37:39,IP Address,98.21.141.157,100,520,True,2021-10-14 15:37:39,R_ABXPkQbqbRrxzl7,,,,,41.6891937255859375,-93.05339813232421875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,Less than $300,Excellent,No,No,Other,Most people are to lazy to be home owners,,No,4,1,3,2,5,,I ‘m not sure there is a housing need,None,Male,56-70,2,0,White or Caucasian,"$100,000-$149,999"
2021-10-14 17:22:43,2021-10-14 17:28:40,IP Address,132.161.162.191,100,357,True,2021-10-14 17:28:40,R_3gT8oGx9oPiYab1,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$1,200-$1,499",Good,Yes,Yes,Not enough of the right home styles,,,Yes,,,,,,,"not enough help for homeowners who can't afford improvements. Not enough affordable, high-quality rentals  ","more assistance for current homeowners/landlords to improve outdated properties.
more affordable senior living so older residents can downsize without losing equity
more high quality rentals (new construction)",Female,41-55,2,0,Don’t wish to answer,"$200,000 or more"
2021-10-14 18:59:54,2021-10-14 19:08:04,IP Address,40.134.188.1,100,490,True,2021-10-14 19:08:05,R_2qyhkMR6Ba955Lj,,,,,41.2910003662109375,-91.20880126953125,anonymous,EN,Yes,1-5 years,,,,,,Yes,Own,,Single family home,,"$900-$1,199",Good,Yes,Yes,Not enough affordable housing,,Independent Living Complex,Yes,4,3,1,2,5,,"The college is buying up a lot of the property, driving both taxes and values up. Additionally, other houses that could be used for single-family housing are being bought by landlords to use as rentals, particularly surrounding the college. Last but not least, there is a gap of DECENT affordable houses. There's not much that's in the 140-170k range that doesn't require a lot of work on the front end, and to get something decent you have to get to the 180-200k range. ","Limit the college's acquisition of random properties. Inspection programs for rental properties and landlords - both big ones that are full of problems like the Reed Street apartments and the small ones (Dan Huebner). In my opinion, we don't need more rental properties - we have a lot. Development of smaller family homes, good quality but affordable in nature (140-190k range) would likely help young families out. ",Male,26 - 40,3,1,White or Caucasian,"$60,000-$79,999"
2021-10-15 05:03:48,2021-10-15 05:07:17,IP Address,173.23.198.150,100,209,True,2021-10-15 05:07:17,R_33BZ1N5jGzOdb5T,,,,,42.040496826171875,-92.91269683837890625,anonymous,EN,Yes,More than 10 years,,,,,,Yes,,,Single family home,,"$900-$1,199",Fair,Yes,Yes,Not enough affordable housing,,"Duplex,Independent Living Complex,Assisted Living Complex",No,3,1,4,2,5,,,,Female,41-55,2,3,White or Caucasian,
2021-10-15 05:17:01,2021-10-15 05:19:53,IP Address,207.32.21.182,100,172,True,2021-10-15 05:19:54,R_2TZum93jAKuAUDL,,,,,41.2946014404296875,-92.64420318603515625,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$2,000 or more",Excellent,Yes,Yes,Not enough quality housing,,,No,3,2,1,4,5,,Our dated homes being listed for higher than they should be,,Female,26 - 40,2,1,,"$200,000 or more"
2021-10-15 07:16:28,2021-10-15 07:25:11,IP Address,74.51.209.210,100,522,True,2021-10-15 07:25:11,R_wREARB0YVmSnvfH,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Rent,,Mobile home,,$700-$899,Fair,Yes,Yes,Not enough affordable housing,,Duplex,No,1,3,4,2,5,,"Rental options that are within budget (outside of Grinnell college) are rare to come by, if they are available they are run down and not maintained well. It is hard to afford housing and utilities on a single income from Grinnell ",,Female,26 - 40,2,2,White or Caucasian,"$40,000-$59,999"
2021-10-15 07:28:28,2021-10-15 07:36:01,IP Address,132.161.177.40,100,452,True,2021-10-15 07:36:01,R_2CfaxaJKqQlgx5B,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,6-10 years,,,,,,Yes,Own,,Single family home,,"$2,000 or more",Excellent,Yes,Yes,Not enough quality housing,,,No,,,,,,,Affordability seems to be a serious issue and it seems particularly challenging in Grinnell versus other small towns in Iowa.,I think more oversight of rentals would be a good first step. A grant program or very low-interest loan program for exterior improvements also seems like a good idea.,Female,26 - 40,2,0,White or Caucasian,"$150,000-$199,999"
2021-10-15 07:24:17,2021-10-15 08:29:00,IP Address,74.51.209.210,100,3882,True,2021-10-15 08:29:00,R_20U7XyRHF6DrVK6,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,$500-$699,Good,No,No,Other,"There is not good quality apartments for thoses that want to move out of the house of parents. It’s easier to stay at home due to not paying rent, and if able to rent  apartments are crappy, landlords don’t care for the housing just money. ",Duplex,No,3,4,1,2,5,,"Landlords, too many hoops to jump though with the city of Grinnell to build any new housing. Get rid of the low income restrictions on places, because half of the places ask that you have little to no money coming in to rent when there are many people to rent but the renting options are terrible or the inside of the apartment need updating. ",,Female,18 - 25,3,0,Hispanic or Latino,"$19,999 or less"
2021-10-15 08:56:54,2021-10-15 09:01:52,IP Address,184.81.199.37,100,297,True,2021-10-15 09:01:52,R_3iVENkiYNqiGyHL,,,,,43.1035003662109375,-94.69170379638671875,anonymous,EN,No,,Other,we live 2 miles outside of grinnell,More homeownership options,Not interested in a different home,"$100,000-$175,000",,,,,,,,,,Not enough quality housing,,Assisted Living Complex,No,4,3,2,1,5,,,,Female,41-55,3,1,White or Caucasian,"$100,000-$149,999"
2021-10-15 09:24:37,2021-10-15 09:41:46,IP Address,132.161.177.229,100,1028,True,2021-10-15 09:41:49,R_9TWDZUwenjBjVTz,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,Less than $300,Excellent,Yes,Yes,Not enough affordable housing,,,No,4,1,3,2,5,,,Improve on rental inspection programs with consequences so the slumlords in town have to provide appropriate and safe housing for renters.,Female,56-70,2,0,White or Caucasian,"$60,000-$79,999"
